id_paiement,id_utilisateur,mois,type_paiement,montant_paiement,statut_paiement,jours_retard
P001543,U0068,2026-04,Remboursement matériel,21500,À temps,0
P001544,U0068,2026-05,Loyer,9000,Impayé,57
P001545,U0068,2026-06,Fournisseur,19500,À temps,0
P001546,U0068,2026-06,Loyer,26500,À temps,0
P001547,U0069,2025-07,Remboursement matériel,59000,À temps,0
P001548,U0069,2025-07,Remboursement matériel,22000,À temps,0
P001549,U0069,2025-08,Transport,34000,Impayé,31
P001550,U0069,2025-08,Abonnement internet,60500,À temps,0
P001551,U0069,2025-08,Transport,40000,À temps,0
P001552,U0069,2025-09,Remboursement matériel,13500,À temps,0
P001553,U0069,2025-09,Transport,14500,À temps,0
P001554,U0069,2025-09,Abonnement internet,17000,Impayé,41
P001555,U0069,2025-10,Transport,64500,En retard,8
P001556,U0069,2025-11,Loyer,55500,En retard,18
P001557,U0069,2025-12,Facture électricité,21500,À temps,0
P001558,U0069,2026-01,Transport,58500,À temps,0
P001559,U0069,2026-02,Abonnement internet,53000,Impayé,53
P001560,U0069,2026-02,Loyer,57500,À temps,0
P001561,U0069,2026-03,Abonnement internet,55000,À temps,0
P001562,U0069,2026-03,Remboursement matériel,22000,En retard,8
P001563,U0069,2026-04,Remboursement matériel,7000,Impayé,54
P001564,U0069,2026-04,Abonnement internet,20000,À temps,0
P001565,U0069,2026-05,Loyer,35500,À temps,0
P001566,U0069,2026-05,Facture électricité,36000,En retard,2
P001567,U0069,2026-06,Abonnement internet,61500,À temps,0
P001568,U0069,2026-06,Facture électricité,10000,À temps,0
P001569,U0070,2025-07,Loyer,55000,À temps,0
P001570,U0070,2025-08,Abonnement internet,64500,À temps,0
P001571,U0070,2025-09,Abonnement internet,28000,Impayé,35
P001572,U0070,2025-09,Abonnement internet,61000,À temps,0
P001573,U0070,2025-10,Fournisseur,19000,À temps,0
P001574,U0070,2025-10,Fournisseur,29500,Impayé,57
P001575,U0070,2025-11,Abonnement internet,10500,À temps,0
P001576,U0070,2025-12,Fournisseur,12000,En retard,12
P001577,U0070,2025-12,Facture électricité,30500,À temps,0
P001578,U0070,2026-01,Abonnement internet,6500,Impayé,42
P001579,U0070,2026-01,Transport,54500,En retard,7
P001580,U0070,2026-02,Remboursement matériel,32000,Impayé,48
P001581,U0070,2026-02,Facture électricité,27000,Impayé,52
P001582,U0070,2026-02,Facture électricité,37000,À temps,0
P001583,U0070,2026-03,Abonnement internet,13000,Impayé,47
P001584,U0070,2026-03,Abonnement internet,7500,À temps,0
P001585,U0070,2026-03,Remboursement matériel,39500,À temps,0
P001586,U0070,2026-04,Abonnement internet,48000,À temps,0
P001587,U0070,2026-05,Loyer,57000,En retard,14
P001588,U0070,2026-05,Abonnement internet,21000,En retard,4
P001589,U0070,2026-05,Remboursement matériel,37500,En retard,12
P001590,U0070,2026-06,Transport,46000,À temps,0
P001591,U0070,2026-06,Loyer,19500,À temps,0
P001592,U0070,2026-06,Fournisseur,59000,Impayé,35
P001593,U0071,2025-07,Transport,7000,En retard,3
P001594,U0071,2025-07,Abonnement internet,24500,En retard,16
P001595,U0071,2025-07,Loyer,65000,En retard,16
P001596,U0071,2025-08,Abonnement internet,61000,À temps,0
P001597,U0071,2025-09,Abonnement internet,31500,Impayé,22
P001598,U0071,2025-09,Loyer,27000,À temps,0
P001599,U0071,2025-10,Abonnement internet,46000,Impayé,21
P001600,U0071,2025-10,Remboursement matériel,24500,À temps,0
P001601,U0071,2025-11,Transport,36500,À temps,0
P001602,U0071,2025-11,Loyer,58000,À temps,0
P001603,U0071,2025-12,Loyer,18500,À temps,0
P001604,U0071,2025-12,Transport,36500,Impayé,46
P001605,U0071,2025-12,Remboursement matériel,38500,À temps,0
P001606,U0071,2026-01,Fournisseur,45500,À temps,0
P001607,U0071,2026-02,Loyer,34000,En retard,12
P001608,U0071,2026-02,Fournisseur,11000,Impayé,55
P001609,U0071,2026-03,Fournisseur,9000,Impayé,27
P001610,U0071,2026-03,Transport,40000,À temps,0
P001611,U0071,2026-04,Loyer,37000,Impayé,37
P001612,U0071,2026-04,Facture électricité,30500,Impayé,24
P001613,U0071,2026-05,Abonnement internet,19000,Impayé,34
P001614,U0071,2026-05,Loyer,35500,À temps,0
P001615,U0071,2026-05,Remboursement matériel,12000,À temps,0
P001616,U0071,2026-06,Facture électricité,7500,À temps,0
P001617,U0071,2026-06,Loyer,44500,À temps,0
P001618,U0071,2026-06,Abonnement internet,28000,En retard,11
P001619,U0072,2025-07,Abonnement internet,57500,Impayé,49
P001620,U0072,2025-07,Facture électricité,23500,Impayé,35
P001621,U0072,2025-08,Fournisseur,37000,À temps,0
P001622,U0072,2025-08,Fournisseur,5000,À temps,0
P001623,U0072,2025-08,Facture électricité,55500,À temps,0
P001624,U0072,2025-09,Loyer,35500,En retard,3
P001625,U0072,2025-09,Facture électricité,43000,Impayé,38
P001626,U0072,2025-10,Remboursement matériel,24000,En retard,2
P001627,U0072,2025-10,Fournisseur,44500,En retard,10
P001628,U0072,2025-10,Transport,24500,À temps,0
P001629,U0072,2025-11,Facture électricité,27500,Impayé,53
P001630,U0072,2025-12,Remboursement matériel,35500,Impayé,53
P001631,U0072,2025-12,Remboursement matériel,47000,À temps,0
P001632,U0072,2026-01,Abonnement internet,47000,À temps,0
P001633,U0072,2026-02,Remboursement matériel,38500,À temps,0
P001634,U0072,2026-02,Facture électricité,57000,À temps,0
P001635,U0072,2026-03,Remboursement matériel,17000,Impayé,36
P001636,U0072,2026-03,Loyer,18000,En retard,15
P001637,U0072,2026-04,Remboursement matériel,24000,Impayé,30
P001638,U0072,2026-04,Remboursement matériel,17500,À temps,0
P001639,U0072,2026-04,Abonnement internet,64500,À temps,0
P001640,U0072,2026-05,Abonnement internet,46500,Impayé,25
P001641,U0072,2026-06,Facture électricité,47000,En retard,11
P001642,U0072,2026-06,Loyer,42500,En retard,10
P001643,U0073,2025-07,Remboursement matériel,29000,À temps,0
P001644,U0073,2025-07,Fournisseur,10000,En retard,6
P001645,U0073,2025-08,Loyer,9000,À temps,0
P001646,U0073,2025-09,Remboursement matériel,64500,À temps,0
P001647,U0073,2025-09,Facture électricité,40500,En retard,17
P001648,U0073,2025-10,Loyer,59500,À temps,0
P001649,U0073,2025-11,Transport,49000,En retard,17
P001650,U0073,2025-12,Transport,40000,À temps,0
P001651,U0073,2025-12,Loyer,44000,À temps,0
P001652,U0073,2026-01,Remboursement matériel,51000,Impayé,28
P001653,U0073,2026-01,Facture électricité,20500,À temps,0
P001654,U0073,2026-02,Facture électricité,44000,À temps,0
P001655,U0073,2026-02,Abonnement internet,27500,À temps,0
P001656,U0073,2026-02,Loyer,61500,En retard,15
P001657,U0073,2026-03,Loyer,34000,En retard,15
P001658,U0073,2026-04,Loyer,6500,À temps,0
P001659,U0073,2026-05,Remboursement matériel,52000,À temps,0
P001660,U0073,2026-05,Remboursement matériel,37000,À temps,0
P001661,U0073,2026-06,Facture électricité,21500,En retard,5
P001662,U0073,2026-06,Abonnement internet,62500,À temps,0
P001663,U0074,2025-07,Remboursement matériel,20000,À temps,0
P001664,U0074,2025-08,Transport,37000,En retard,2
P001665,U0074,2025-08,Abonnement internet,11000,Impayé,21
P001666,U0074,2025-09,Remboursement matériel,34000,En retard,18
P001667,U0074,2025-09,Fournisseur,42500,À temps,0
P001668,U0074,2025-09,Remboursement matériel,60000,En retard,11
P001669,U0074,2025-10,Abonnement internet,50000,À temps,0
P001670,U0074,2025-10,Abonnement internet,11500,À temps,0
P001671,U0074,2025-10,Facture électricité,16000,À temps,0
P001672,U0074,2025-11,Loyer,7000,À temps,0
P001673,U0074,2025-12,Fournisseur,29500,En retard,13
P001674,U0074,2026-01,Abonnement internet,57500,À temps,0
P001675,U0074,2026-01,Remboursement matériel,44000,À temps,0
P001676,U0074,2026-02,Abonnement internet,22500,Impayé,49
P001677,U0074,2026-02,Fournisseur,42500,À temps,0
P001678,U0074,2026-02,Transport,21000,À temps,0
P001679,U0074,2026-03,Abonnement internet,51500,En retard,16
P001680,U0074,2026-03,Transport,38000,Impayé,31
P001681,U0074,2026-04,Transport,12000,En retard,6
P001682,U0074,2026-05,Loyer,44500,Impayé,45
P001683,U0074,2026-06,Transport,24000,En retard,12
P001684,U0075,2025-07,Transport,46000,À temps,0
P001685,U0075,2025-08,Abonnement internet,28000,À temps,0
P001686,U0075,2025-08,Fournisseur,47000,En retard,15
P001687,U0075,2025-09,Abonnement internet,49500,À temps,0
P001688,U0075,2025-09,Facture électricité,43500,À temps,0
P001689,U0075,2025-10,Facture électricité,34000,À temps,0
P001690,U0075,2025-11,Facture électricité,36500,En retard,8
P001691,U0075,2025-12,Facture électricité,62500,Impayé,51
P001692,U0075,2025-12,Fournisseur,19000,À temps,0
P001693,U0075,2026-01,Loyer,62500,À temps,0
P001694,U0075,2026-01,Abonnement internet,63500,À temps,0
P001695,U0075,2026-02,Loyer,48500,En retard,11
P001696,U0075,2026-02,Transport,23000,Impayé,36
P001697,U0075,2026-02,Abonnement internet,32500,À temps,0
P001698,U0075,2026-03,Fournisseur,16000,En retard,16
P001699,U0075,2026-03,Transport,20000,En retard,15
P001700,U0075,2026-04,Transport,11000,En retard,12
P001701,U0075,2026-04,Abonnement internet,31000,Impayé,59
P001702,U0075,2026-05,Fournisseur,63000,Impayé,25
P001703,U0075,2026-05,Facture électricité,13500,En retard,17
P001704,U0075,2026-06,Abonnement internet,61000,En retard,18
P001705,U0075,2026-06,Abonnement internet,9500,En retard,7
P001706,U0076,2025-07,Loyer,54500,Impayé,50
P001707,U0076,2025-08,Remboursement matériel,33000,À temps,0
P001708,U0076,2025-08,Transport,21000,En retard,6
P001709,U0076,2025-08,Fournisseur,22500,À temps,0
P001710,U0076,2025-09,Transport,49000,À temps,0
P001711,U0076,2025-09,Facture électricité,8000,À temps,0
P001712,U0076,2025-09,Abonnement internet,59500,À temps,0
P001713,U0076,2025-10,Transport,5500,En retard,16
P001714,U0076,2025-11,Transport,32000,Impayé,53
P001715,U0076,2025-11,Abonnement internet,59000,Impayé,41
P001716,U0076,2025-12,Remboursement matériel,53500,À temps,0
P001717,U0076,2025-12,Abonnement internet,47000,À temps,0
P001718,U0076,2026-01,Transport,18000,À temps,0
P001719,U0076,2026-01,Loyer,20000,À temps,0
P001720,U0076,2026-02,Abonnement internet,42000,À temps,0
P001721,U0076,2026-02,Loyer,41500,À temps,0
P001722,U0076,2026-03,Facture électricité,39500,À temps,0
P001723,U0076,2026-03,Fournisseur,17000,À temps,0
P001724,U0076,2026-03,Transport,33000,À temps,0
P001725,U0076,2026-04,Abonnement internet,44500,Impayé,36
P001726,U0076,2026-05,Transport,49500,Impayé,43
P001727,U0076,2026-05,Facture électricité,39000,Impayé,59
P001728,U0076,2026-06,Loyer,47500,Impayé,33
P001729,U0077,2025-07,Fournisseur,28000,À temps,0
P001730,U0077,2025-08,Remboursement matériel,30000,À temps,0
P001731,U0077,2025-09,Remboursement matériel,26000,En retard,2
P001732,U0077,2025-09,Fournisseur,22000,À temps,0
P001733,U0077,2025-10,Abonnement internet,7000,À temps,0
P001734,U0077,2025-10,Facture électricité,31500,À temps,0
P001735,U0077,2025-11,Loyer,40500,Impayé,53
P001736,U0077,2025-12,Abonnement internet,59000,Impayé,46
P001737,U0077,2026-01,Remboursement matériel,53500,À temps,0
P001738,U0077,2026-02,Transport,18500,À temps,0
P001739,U0077,2026-02,Abonnement internet,51000,Impayé,34
P001740,U0077,2026-02,Abonnement internet,34500,À temps,0
P001741,U0077,2026-03,Loyer,49500,À temps,0
P001742,U0077,2026-04,Loyer,36000,À temps,0
P001743,U0077,2026-04,Loyer,59500,À temps,0
P001744,U0077,2026-05,Transport,18000,À temps,0
P001745,U0077,2026-05,Transport,27500,À temps,0
P001746,U0077,2026-06,Transport,64500,En retard,18
P001747,U0077,2026-06,Remboursement matériel,29500,En retard,5
P001748,U0078,2025-07,Fournisseur,46000,À temps,0
P001749,U0078,2025-07,Transport,34000,Impayé,58
P001750,U0078,2025-07,Facture électricité,62500,En retard,4
P001751,U0078,2025-08,Loyer,29500,À temps,0
P001752,U0078,2025-08,Remboursement matériel,45500,À temps,0
P001753,U0078,2025-09,Abonnement internet,53500,À temps,0
P001754,U0078,2025-09,Fournisseur,23000,À temps,0
P001755,U0078,2025-09,Abonnement internet,48000,À temps,0
P001756,U0078,2025-10,Facture électricité,20500,À temps,0
P001757,U0078,2025-11,Remboursement matériel,33000,En retard,15
P001758,U0078,2025-11,Loyer,28500,À temps,0
P001759,U0078,2025-12,Transport,23500,Impayé,53
P001760,U0078,2025-12,Facture électricité,62500,En retard,10
P001761,U0078,2026-01,Transport,15000,À temps,0
P001762,U0078,2026-01,Loyer,16000,Impayé,55
P001763,U0078,2026-02,Abonnement internet,42000,En retard,15
P001764,U0078,2026-03,Facture électricité,38500,À temps,0
P001765,U0078,2026-04,Loyer,34500,À temps,0
P001766,U0078,2026-04,Loyer,47500,À temps,0
P001767,U0078,2026-05,Transport,25000,À temps,0
P001768,U0078,2026-06,Facture électricité,7000,À temps,0
P001769,U0078,2026-06,Remboursement matériel,37000,En retard,15
P001770,U0079,2025-07,Loyer,28500,À temps,0
P001771,U0079,2025-07,Transport,12500,À temps,0
P001772,U0079,2025-08,Abonnement internet,46500,En retard,11
P001773,U0079,2025-08,Abonnement internet,58500,À temps,0
P001774,U0079,2025-09,Facture électricité,29500,À temps,0
P001775,U0079,2025-10,Abonnement internet,47500,À temps,0
P001776,U0079,2025-10,Fournisseur,51500,À temps,0
P001777,U0079,2025-11,Abonnement internet,10000,À temps,0
P001778,U0079,2025-12,Transport,55000,À temps,0
P001779,U0079,2025-12,Remboursement matériel,30500,À temps,0
P001780,U0079,2026-01,Transport,15500,À temps,0
P001781,U0079,2026-02,Fournisseur,25000,À temps,0
P001782,U0079,2026-02,Fournisseur,10000,À temps,0
P001783,U0079,2026-03,Loyer,37000,À temps,0
P001784,U0079,2026-04,Facture électricité,26500,À temps,0
P001785,U0079,2026-04,Fournisseur,35500,À temps,0
P001786,U0079,2026-04,Remboursement matériel,22500,À temps,0
P001787,U0079,2026-05,Loyer,51000,À temps,0
P001788,U0079,2026-06,Transport,56500,À temps,0
P001789,U0079,2026-06,Fournisseur,54500,À temps,0
P001790,U0080,2025-07,Loyer,47000,À temps,0
P001791,U0080,2025-08,Loyer,46500,En retard,5
P001792,U0080,2025-08,Facture électricité,15500,À temps,0
P001793,U0080,2025-08,Fournisseur,45500,À temps,0
P001794,U0080,2025-09,Fournisseur,33000,À temps,0
P001795,U0080,2025-09,Facture électricité,60500,À temps,0
P001796,U0080,2025-10,Loyer,32500,En retard,15
P001797,U0080,2025-10,Loyer,25500,À temps,0
P001798,U0080,2025-11,Transport,6000,À temps,0
P001799,U0080,2025-11,Facture électricité,43000,En retard,3
P001800,U0080,2025-12,Loyer,41500,À temps,0
P001801,U0080,2025-12,Remboursement matériel,49500,À temps,0
P001802,U0080,2026-01,Remboursement matériel,9500,À temps,0
P001803,U0080,2026-01,Transport,56500,En retard,6
P001804,U0080,2026-01,Facture électricité,62500,À temps,0
P001805,U0080,2026-02,Remboursement matériel,48500,Impayé,44
P001806,U0080,2026-02,Abonnement internet,27500,En retard,16
P001807,U0080,2026-03,Facture électricité,55000,Impayé,27
P001808,U0080,2026-03,Abonnement internet,53000,À temps,0
P001809,U0080,2026-04,Abonnement internet,35000,À temps,0
P001810,U0080,2026-04,Transport,32500,À temps,0
P001811,U0080,2026-05,Transport,18500,Impayé,57
P001812,U0080,2026-06,Abonnement internet,54000,En retard,13
P001813,U0080,2026-06,Remboursement matériel,18500,En retard,8
P001814,U0080,2026-06,Fournisseur,43000,À temps,0
P001815,U0081,2025-07,Loyer,46500,En retard,8
P001816,U0081,2025-07,Transport,41500,À temps,0
P001817,U0081,2025-07,Abonnement internet,36000,En retard,16
P001818,U0081,2025-08,Loyer,10500,À temps,0
P001819,U0081,2025-08,Facture électricité,8500,Impayé,42
P001820,U0081,2025-08,Remboursement matériel,19500,À temps,0
P001821,U0081,2025-09,Loyer,38500,Impayé,35
P001822,U0081,2025-09,Loyer,51000,Impayé,39
P001823,U0081,2025-09,Fournisseur,8000,En retard,11
P001824,U0081,2025-10,Abonnement internet,26000,Impayé,34
P001825,U0081,2025-10,Loyer,64500,À temps,0
P001826,U0081,2025-11,Facture électricité,21500,En retard,12
P001827,U0081,2025-11,Abonnement internet,21500,Impayé,24
P001828,U0081,2025-12,Abonnement internet,24500,À temps,0
P001829,U0081,2026-01,Transport,37000,Impayé,50
P001830,U0081,2026-01,Abonnement internet,56000,À temps,0
P001831,U0081,2026-02,Fournisseur,8500,À temps,0
P001832,U0081,2026-02,Transport,11500,En retard,14
P001833,U0081,2026-03,Abonnement internet,52500,En retard,16
P001834,U0081,2026-03,Remboursement matériel,7500,À temps,0
P001835,U0081,2026-03,Fournisseur,45500,À temps,0
P001836,U0081,2026-04,Remboursement matériel,34500,À temps,0
P001837,U0081,2026-04,Remboursement matériel,11000,Impayé,22
P001838,U0081,2026-05,Facture électricité,36000,Impayé,30
P001839,U0081,2026-05,Facture électricité,64000,Impayé,52
P001840,U0081,2026-05,Remboursement matériel,48500,En retard,4
P001841,U0081,2026-06,Transport,15500,En retard,4
P001842,U0081,2026-06,Fournisseur,14500,Impayé,57
P001843,U0081,2026-06,Facture électricité,16000,Impayé,55
P001844,U0082,2025-07,Fournisseur,32000,À temps,0
P001845,U0082,2025-07,Loyer,16500,En retard,18
P001846,U0082,2025-08,Abonnement internet,13000,À temps,0
P001847,U0082,2025-09,Facture électricité,59000,À temps,0
P001848,U0082,2025-09,Remboursement matériel,63500,À temps,0
P001849,U0082,2025-10,Remboursement matériel,19500,À temps,0
P001850,U0082,2025-10,Loyer,30000,En retard,16
P001851,U0082,2025-10,Fournisseur,54500,En retard,14
P001852,U0082,2025-11,Loyer,46000,Impayé,22
P001853,U0082,2025-12,Abonnement internet,43500,À temps,0
P001854,U0082,2025-12,Facture électricité,59500,Impayé,49
P001855,U0082,2025-12,Loyer,22500,En retard,10
P001856,U0082,2026-01,Transport,57500,En retard,12
P001857,U0082,2026-02,Loyer,5500,En retard,18
P001858,U0082,2026-02,Facture électricité,26000,À temps,0
P001859,U0082,2026-02,Fournisseur,45000,En retard,12
P001860,U0082,2026-03,Abonnement internet,14500,À temps,0
P001861,U0082,2026-03,Loyer,51000,À temps,0
P001862,U0082,2026-03,Transport,27500,À temps,0
P001863,U0082,2026-04,Abonnement internet,43500,En retard,12
P001864,U0082,2026-04,Fournisseur,10000,En retard,14
P001865,U0082,2026-05,Loyer,55500,À temps,0
P001866,U0082,2026-05,Loyer,6500,À temps,0
P001867,U0082,2026-06,Fournisseur,38500,À temps,0
P001868,U0082,2026-06,Loyer,6000,À temps,0
P001869,U0083,2025-07,Loyer,54000,À temps,0
P001870,U0083,2025-07,Fournisseur,24000,À temps,0
P001871,U0083,2025-07,Loyer,56000,À temps,0
P001872,U0083,2025-08,Remboursement matériel,6000,Impayé,54
P001873,U0083,2025-08,Remboursement matériel,35500,Impayé,59
P001874,U0083,2025-09,Abonnement internet,25500,À temps,0
P001875,U0083,2025-10,Fournisseur,46000,Impayé,49
P001876,U0083,2025-10,Fournisseur,10500,Impayé,55
P001877,U0083,2025-11,Remboursement matériel,35500,À temps,0
P001878,U0083,2025-11,Remboursement matériel,49500,En retard,16
P001879,U0083,2025-12,Fournisseur,48000,Impayé,23
P001880,U0083,2025-12,Loyer,15000,À temps,0
P001881,U0083,2026-01,Loyer,6000,À temps,0
P001882,U0083,2026-01,Remboursement matériel,18000,À temps,0
P001883,U0083,2026-01,Transport,12500,Impayé,23
P001884,U0083,2026-02,Fournisseur,11500,À temps,0
P001885,U0083,2026-02,Transport,41000,À temps,0
P001886,U0083,2026-03,Loyer,41000,Impayé,31
P001887,U0083,2026-04,Remboursement matériel,40000,Impayé,55
P001888,U0083,2026-04,Remboursement matériel,29500,À temps,0
P001889,U0083,2026-05,Facture électricité,42500,En retard,12
P001890,U0083,2026-05,Fournisseur,12500,En retard,4
P001891,U0083,2026-06,Facture électricité,33500,À temps,0
P001892,U0083,2026-06,Fournisseur,26000,À temps,0
P001893,U0083,2026-06,Remboursement matériel,21500,À temps,0
P001894,U0084,2025-07,Fournisseur,54500,En retard,18
P001895,U0084,2025-08,Remboursement matériel,61000,Impayé,35
P001896,U0084,2025-08,Facture électricité,43500,Impayé,49
P001897,U0084,2025-08,Loyer,43000,En retard,18
P001898,U0084,2025-09,Fournisseur,56500,Impayé,55
P001899,U0084,2025-10,Facture électricité,55500,À temps,0
P001900,U0084,2025-10,Transport,6500,À temps,0
P001901,U0084,2025-10,Loyer,61000,À temps,0
P001902,U0084,2025-11,Remboursement matériel,41500,À temps,0
P001903,U0084,2025-12,Loyer,28000,Impayé,38
P001904,U0084,2025-12,Facture électricité,16500,À temps,0
P001905,U0084,2025-12,Transport,40000,En retard,18
P001906,U0084,2026-01,Abonnement internet,45000,Impayé,59
P001907,U0084,2026-01,Loyer,27000,À temps,0
P001908,U0084,2026-02,Facture électricité,53000,À temps,0
P001909,U0084,2026-03,Fournisseur,57500,En retard,17
P001910,U0084,2026-03,Transport,16000,Impayé,26
P001911,U0084,2026-04,Remboursement matériel,31500,Impayé,55
P001912,U0084,2026-05,Loyer,62000,À temps,0
P001913,U0084,2026-06,Abonnement internet,55500,À temps,0
P001914,U0085,2025-07,Remboursement matériel,27000,À temps,0
P001915,U0085,2025-07,Abonnement internet,22000,À temps,0
P001916,U0085,2025-08,Transport,44000,À temps,0
P001917,U0085,2025-08,Abonnement internet,22000,À temps,0
P001918,U0085,2025-09,Transport,16000,À temps,0
P001919,U0085,2025-09,Loyer,58500,À temps,0
P001920,U0085,2025-09,Remboursement matériel,5000,À temps,0
P001921,U0085,2025-10,Loyer,62000,En retard,13
P001922,U0085,2025-10,Loyer,62000,À temps,0
P001923,U0085,2025-11,Loyer,37000,À temps,0
P001924,U0085,2025-11,Facture électricité,53000,À temps,0
P001925,U0085,2025-12,Loyer,10000,À temps,0
P001926,U0085,2026-01,Remboursement matériel,6000,À temps,0
P001927,U0085,2026-01,Loyer,20500,À temps,0
P001928,U0085,2026-02,Remboursement matériel,40000,À temps,0
P001929,U0085,2026-02,Abonnement internet,8500,En retard,8
P001930,U0085,2026-03,Loyer,43000,À temps,0
P001931,U0085,2026-03,Fournisseur,5500,À temps,0
P001932,U0085,2026-03,Loyer,6500,En retard,12
P001933,U0085,2026-04,Transport,59500,À temps,0
P001934,U0085,2026-05,Facture électricité,8000,À temps,0
P001935,U0085,2026-06,Remboursement matériel,13000,À temps,0
P001936,U0086,2025-07,Transport,7000,À temps,0
P001937,U0086,2025-08,Transport,64500,Impayé,53
P001938,U0086,2025-08,Fournisseur,58000,Impayé,45
P001939,U0086,2025-09,Facture électricité,12500,À temps,0
P001940,U0086,2025-09,Loyer,34500,À temps,0
P001941,U0086,2025-10,Facture électricité,32500,Impayé,33
P001942,U0086,2025-11,Abonnement internet,43000,Impayé,20
P001943,U0086,2025-11,Remboursement matériel,7000,Impayé,38
P001944,U0086,2025-11,Facture électricité,11500,Impayé,33
P001945,U0086,2025-12,Remboursement matériel,38000,Impayé,29
P001946,U0086,2026-01,Fournisseur,50500,En retard,2
P001947,U0086,2026-01,Transport,45500,À temps,0
P001948,U0086,2026-02,Fournisseur,14000,Impayé,29
P001949,U0086,2026-02,Loyer,18500,À temps,0
P001950,U0086,2026-03,Remboursement matériel,13000,En retard,16
P001951,U0086,2026-03,Transport,12500,Impayé,36
P001952,U0086,2026-03,Facture électricité,17500,À temps,0
P001953,U0086,2026-04,Fournisseur,19500,En retard,7
P001954,U0086,2026-04,Remboursement matériel,19000,En retard,13
P001955,U0086,2026-04,Remboursement matériel,15000,À temps,0
P001956,U0086,2026-05,Facture électricité,16000,À temps,0
P001957,U0086,2026-05,Transport,13500,À temps,0
P001958,U0086,2026-06,Fournisseur,54500,À temps,0
P001959,U0086,2026-06,Transport,61500,Impayé,23
P001960,U0087,2025-07,Facture électricité,20000,Impayé,27
P001961,U0087,2025-07,Remboursement matériel,58500,Impayé,55
P001962,U0087,2025-08,Fournisseur,41500,Impayé,35
P001963,U0087,2025-08,Fournisseur,5000,À temps,0
P001964,U0087,2025-09,Remboursement matériel,32000,À temps,0
P001965,U0087,2025-09,Remboursement matériel,9000,En retard,14
P001966,U0087,2025-10,Facture électricité,36000,À temps,0
P001967,U0087,2025-10,Facture électricité,30500,À temps,0
P001968,U0087,2025-11,Abonnement internet,5500,Impayé,54
P001969,U0087,2025-11,Facture électricité,42000,En retard,15
P001970,U0087,2025-11,Fournisseur,61500,Impayé,36
P001971,U0087,2025-12,Transport,40500,À temps,0
P001972,U0087,2025-12,Transport,36500,À temps,0
P001973,U0087,2026-01,Remboursement matériel,28000,À temps,0
P001974,U0087,2026-01,Remboursement matériel,6000,À temps,0
P001975,U0087,2026-01,Fournisseur,43000,En retard,11
P001976,U0087,2026-02,Fournisseur,26500,Impayé,25
P001977,U0087,2026-02,Fournisseur,12500,À temps,0
P001978,U0087,2026-03,Transport,29500,À temps,0
P001979,U0087,2026-04,Loyer,58500,Impayé,26
P001980,U0087,2026-04,Transport,7500,En retard,9
P001981,U0087,2026-05,Transport,25500,À temps,0
P001982,U0087,2026-06,Facture électricité,40000,Impayé,46
P001983,U0087,2026-06,Remboursement matériel,26000,En retard,2
P001984,U0088,2025-07,Facture électricité,47000,En retard,12
P001985,U0088,2025-07,Remboursement matériel,58000,À temps,0
P001986,U0088,2025-08,Transport,27000,En retard,17
P001987,U0088,2025-08,Remboursement matériel,59500,Impayé,46
P001988,U0088,2025-09,Fournisseur,64000,À temps,0
P001989,U0088,2025-10,Abonnement internet,14000,À temps,0
P001990,U0088,2025-10,Facture électricité,32500,Impayé,56
P001991,U0088,2025-11,Remboursement matériel,65000,À temps,0
P001992,U0088,2025-12,Transport,18500,En retard,13
P001993,U0088,2026-01,Transport,21000,À temps,0
P001994,U0088,2026-01,Transport,17000,En retard,17
P001995,U0088,2026-02,Abonnement internet,28000,À temps,0
P001996,U0088,2026-02,Remboursement matériel,34000,À temps,0
P001997,U0088,2026-02,Loyer,23000,En retard,11
P001998,U0088,2026-03,Abonnement internet,61500,À temps,0
P001999,U0088,2026-03,Loyer,61000,À temps,0
P002000,U0088,2026-04,Facture électricité,24500,À temps,0
P002001,U0088,2026-04,Remboursement matériel,51000,En retard,7
P002002,U0088,2026-05,Fournisseur,9500,À temps,0
P002003,U0088,2026-05,Abonnement internet,21500,En retard,9
P002004,U0088,2026-05,Remboursement matériel,8500,Impayé,31
P002005,U0088,2026-06,Loyer,36500,À temps,0
P002006,U0089,2025-07,Transport,35000,À temps,0
P002007,U0089,2025-07,Loyer,11000,Impayé,48
P002008,U0089,2025-07,Abonnement internet,32000,Impayé,51
P002009,U0089,2025-08,Fournisseur,61000,À temps,0
P002010,U0089,2025-08,Loyer,52500,En retard,10
P002011,U0089,2025-08,Facture électricité,5000,À temps,0
P002012,U0089,2025-09,Abonnement internet,65000,À temps,0
P002013,U0089,2025-09,Abonnement internet,29500,À temps,0
P002014,U0089,2025-09,Remboursement matériel,28000,À temps,0
P002015,U0089,2025-10,Fournisseur,32000,Impayé,51
P002016,U0089,2025-10,Abonnement internet,61000,À temps,0
P002017,U0089,2025-11,Facture électricité,57000,À temps,0
P002018,U0089,2025-11,Fournisseur,41500,Impayé,26
P002019,U0089,2025-12,Remboursement matériel,8000,En retard,14
P002020,U0089,2025-12,Remboursement matériel,53500,En retard,12
P002021,U0089,2026-01,Fournisseur,9000,En retard,3
P002022,U0089,2026-02,Facture électricité,50000,Impayé,49
P002023,U0089,2026-02,Abonnement internet,54500,Impayé,54
P002024,U0089,2026-03,Fournisseur,58000,À temps,0
