id_revenu,id_utilisateur,mois,source_revenu,montant_revenu,canal_reception,revenu_recurrent
R000766,U0064,2025-08,Service local,301965,Mobile money,Oui
R000767,U0064,2025-09,Commande client,288646,Cash,Oui
R000768,U0064,2025-09,Vente boutique,267759,Mobile money,Non
R000769,U0064,2025-10,Vente boutique,99000,Mobile money,Non
R000770,U0064,2025-11,Service local,163536,Mobile money,Oui
R000771,U0064,2026-01,Commande client,136402,Cash,Non
R000772,U0064,2026-01,Commande client,206002,Mobile money,Non
R000773,U0064,2026-02,Commande client,74371,Mobile money,Non
R000774,U0064,2026-02,Service local,264531,Mobile money,Non
R000775,U0064,2026-03,Vente boutique,74171,Virement,Non
R000776,U0064,2026-04,Commande client,49263,Mobile money,Oui
R000777,U0064,2026-05,Service local,226755,Mobile money,Non
R000778,U0064,2026-05,Vente boutique,222000,Cash,Non
R000779,U0064,2026-06,Service local,250566,Mobile money,Oui
R000780,U0064,2026-06,Commande client,138473,Mobile money,Non
R000781,U0065,2025-07,Salaire partiel,129000,Mobile money,Oui
R000782,U0065,2025-07,Mission ponctuelle,160000,Mobile money,Non
R000783,U0065,2026-01,Salaire partiel,68000,Mobile money,Non
R000784,U0065,2026-02,Petit commerce,47000,Cash,Oui
R000785,U0065,2026-04,Salaire partiel,131979,Mobile money,Non
R000786,U0065,2026-05,Petit commerce,143000,Mobile money,Oui
R000787,U0066,2025-08,Livraisons,84000,Mobile money,Oui
R000788,U0066,2025-08,Livraisons,66162,Mobile money,Oui
R000789,U0066,2025-08,Course directe,157169,Mobile money,Non
R000790,U0066,2025-09,Bonus plateforme,113220,Virement,Oui
R000791,U0066,2025-09,Course directe,24928,Mobile money,Oui
R000792,U0066,2025-09,Livraisons,40945,Mobile money,Oui
R000793,U0066,2025-10,Course directe,88812,Virement,Oui
R000794,U0066,2025-10,Course directe,88857,Mobile money,Oui
R000795,U0066,2025-11,Livraisons,119351,Mobile money,Oui
R000796,U0066,2025-11,Livraisons,156097,Mobile money,Non
R000797,U0066,2025-12,Livraisons,176165,Cash,Oui
R000798,U0066,2026-02,Livraisons,94790,Mobile money,Non
R000799,U0066,2026-03,Bonus plateforme,127425,Mobile money,Oui
R000800,U0066,2026-04,Livraisons,27226,Mobile money,Non
R000801,U0066,2026-04,Course directe,163412,Mobile money,Non
R000802,U0066,2026-05,Livraisons,43269,Mobile money,Oui
R000803,U0066,2026-06,Livraisons,68055,Virement,Non
R000804,U0067,2025-07,Prestation,108000,Cash,Non
R000805,U0067,2025-07,Service client,196554,Virement,Non
R000806,U0067,2025-08,Service client,71000,Cash,Oui
R000807,U0067,2025-10,Maintenance,229000,Mobile money,Oui
R000808,U0067,2025-11,Prestation,71010,Mobile money,Oui
R000809,U0067,2025-11,Service client,63000,Mobile money,Non
R000810,U0067,2026-01,Maintenance,91256,Mobile money,Non
R000811,U0067,2026-02,Prestation,200000,Cash,Oui
R000812,U0067,2026-03,Prestation,259893,Cash,Non
R000813,U0067,2026-04,Prestation,157272,Cash,Non
R000814,U0067,2026-05,Service client,51636,Mobile money,Non
R000815,U0067,2026-05,Prestation,202408,Cash,Oui
R000816,U0067,2026-06,Maintenance,289911,Mobile money,Non
R000817,U0068,2025-07,Salaire partiel,174257,Mobile money,Oui
R000818,U0068,2025-09,Petit commerce,159000,Cash,Oui
R000819,U0068,2025-10,Salaire partiel,47099,Cash,Oui
R000820,U0068,2026-02,Petit commerce,54000,Mobile money,Non
R000821,U0068,2026-02,Petit commerce,80000,Mobile money,Oui
R000822,U0068,2026-02,Petit commerce,132868,Mobile money,Non
R000823,U0068,2026-06,Salaire partiel,43000,Mobile money,Non
R000824,U0068,2026-06,Petit commerce,65000,Mobile money,Oui
R000825,U0069,2025-07,Service client,218000,Mobile money,Non
R000826,U0069,2025-08,Maintenance,183683,Cash,Oui
R000827,U0069,2025-08,Maintenance,202000,Mobile money,Oui
R000828,U0069,2025-09,Service client,170000,Mobile money,Oui
R000829,U0069,2025-10,Service client,48000,Virement,Oui
R000830,U0069,2025-12,Service client,162000,Mobile money,Oui
R000831,U0069,2026-01,Service client,67496,Cash,Non
R000832,U0069,2026-01,Prestation,227000,Cash,Non
R000833,U0069,2026-02,Maintenance,102548,Mobile money,Oui
R000834,U0069,2026-02,Prestation,86836,Cash,Non
R000835,U0069,2026-02,Maintenance,133170,Cash,Oui
R000836,U0069,2026-05,Service client,94000,Mobile money,Oui
R000837,U0069,2026-05,Service client,231250,Mobile money,Non
R000838,U0069,2026-05,Maintenance,140387,Cash,Oui
R000839,U0069,2026-06,Service client,55343,Cash,Non
R000840,U0069,2026-06,Prestation,183000,Mobile money,Oui
R000841,U0069,2026-06,Prestation,80891,Mobile money,Oui
R000842,U0070,2025-08,Bonus plateforme,50571,Mobile money,Oui
R000843,U0070,2025-09,Course directe,133908,Mobile money,Non
R000844,U0070,2025-11,Course directe,57108,Mobile money,Non
R000845,U0070,2025-11,Livraisons,61000,Mobile money,Oui
R000846,U0070,2026-01,Bonus plateforme,74512,Mobile money,Oui
R000847,U0070,2026-06,Bonus plateforme,117757,Mobile money,Non
R000848,U0070,2026-06,Course directe,135570,Mobile money,Oui
R000849,U0070,2026-06,Course directe,85202,Cash,Oui
R000850,U0071,2025-08,Course directe,66705,Mobile money,Oui
R000851,U0071,2025-08,Course directe,37598,Cash,Non
R000852,U0071,2025-09,Course directe,118000,Cash,Non
R000853,U0071,2025-10,Livraisons,63811,Virement,Non
R000854,U0071,2025-12,Bonus plateforme,130098,Mobile money,Oui
R000855,U0071,2025-12,Bonus plateforme,69236,Virement,Oui
R000856,U0071,2025-12,Livraisons,82000,Mobile money,Non
R000857,U0071,2026-01,Livraisons,49420,Mobile money,Non
R000858,U0071,2026-01,Livraisons,98785,Virement,Non
R000859,U0071,2026-02,Bonus plateforme,93953,Mobile money,Non
R000860,U0071,2026-02,Livraisons,125000,Mobile money,Non
R000861,U0071,2026-04,Course directe,57000,Mobile money,Non
R000862,U0071,2026-04,Livraisons,46185,Cash,Oui
R000863,U0071,2026-05,Bonus plateforme,32000,Cash,Non
R000864,U0071,2026-05,Course directe,166669,Mobile money,Non
R000865,U0071,2026-06,Course directe,49000,Mobile money,Non
R000866,U0071,2026-06,Course directe,118476,Cash,Oui
R000867,U0071,2026-06,Course directe,146000,Mobile money,Oui
R000868,U0072,2025-07,Livraisons,148310,Cash,Non
R000869,U0072,2025-08,Course directe,78960,Mobile money,Oui
R000870,U0072,2025-08,Course directe,142000,Mobile money,Non
R000871,U0072,2025-09,Livraisons,71539,Mobile money,Oui
R000872,U0072,2025-09,Bonus plateforme,101196,Mobile money,Oui
R000873,U0072,2025-09,Bonus plateforme,75619,Mobile money,Non
R000874,U0072,2025-10,Course directe,36430,Cash,Oui
R000875,U0072,2025-10,Course directe,119566,Cash,Non
R000876,U0072,2025-11,Course directe,110028,Cash,Oui
R000877,U0072,2025-11,Livraisons,31000,Mobile money,Oui
R000878,U0072,2025-12,Course directe,121000,Mobile money,Non
R000879,U0072,2025-12,Livraisons,135288,Mobile money,Oui
R000880,U0072,2026-01,Bonus plateforme,72838,Mobile money,Oui
R000881,U0072,2026-01,Course directe,45690,Cash,Oui
R000882,U0072,2026-01,Livraisons,125496,Mobile money,Non
R000883,U0072,2026-02,Livraisons,100000,Cash,Oui
R000884,U0072,2026-03,Course directe,27757,Mobile money,Oui
R000885,U0072,2026-04,Bonus plateforme,141551,Cash,Oui
R000886,U0072,2026-05,Livraisons,37390,Virement,Non
R000887,U0072,2026-05,Bonus plateforme,37843,Cash,Oui
R000888,U0072,2026-06,Course directe,43350,Cash,Oui
R000889,U0072,2026-06,Course directe,79641,Cash,Oui
R000890,U0073,2025-08,Livraisons,68000,Virement,Oui
R000891,U0073,2025-08,Course directe,61000,Cash,Non
R000892,U0073,2025-08,Livraisons,60047,Mobile money,Oui
R000893,U0073,2025-12,Bonus plateforme,39694,Mobile money,Oui
R000894,U0073,2026-01,Bonus plateforme,97000,Mobile money,Non
R000895,U0073,2026-01,Bonus plateforme,105000,Cash,Oui
R000896,U0073,2026-02,Livraisons,111000,Virement,Non
R000897,U0073,2026-03,Bonus plateforme,114000,Virement,Non
R000898,U0073,2026-04,Livraisons,110866,Cash,Oui
R000899,U0073,2026-04,Bonus plateforme,99000,Virement,Non
R000900,U0073,2026-05,Course directe,134504,Virement,Non
R000901,U0074,2025-07,Bonus plateforme,118366,Mobile money,Non
R000902,U0074,2025-07,Livraisons,116308,Mobile money,Oui
R000903,U0074,2025-08,Course directe,169011,Mobile money,Non
R000904,U0074,2025-08,Livraisons,34000,Mobile money,Oui
R000905,U0074,2025-10,Bonus plateforme,81000,Cash,Oui
R000906,U0074,2025-11,Livraisons,39000,Mobile money,Non
R000907,U0074,2025-12,Bonus plateforme,113799,Mobile money,Non
R000908,U0074,2025-12,Livraisons,137000,Cash,Oui
R000909,U0074,2026-01,Livraisons,45946,Virement,Non
R000910,U0074,2026-06,Livraisons,69000,Cash,Non
R000911,U0074,2026-06,Livraisons,67804,Mobile money,Non
R000912,U0074,2026-06,Livraisons,118000,Mobile money,Non
R000913,U0075,2025-07,Bonus plateforme,22965,Mobile money,Oui
R000914,U0075,2025-08,Livraisons,98141,Virement,Oui
R000915,U0075,2025-09,Course directe,93773,Mobile money,Non
R000916,U0075,2025-10,Course directe,89264,Mobile money,Oui
R000917,U0075,2025-11,Bonus plateforme,57000,Mobile money,Oui
R000918,U0075,2025-12,Bonus plateforme,75415,Cash,Non
R000919,U0075,2026-01,Course directe,139072,Virement,Oui
R000920,U0075,2026-01,Bonus plateforme,62626,Mobile money,Oui
R000921,U0075,2026-01,Bonus plateforme,142684,Cash,Non
R000922,U0075,2026-02,Bonus plateforme,56728,Mobile money,Oui
R000923,U0075,2026-03,Course directe,41397,Mobile money,Non
R000924,U0075,2026-04,Course directe,69092,Virement,Oui
R000925,U0075,2026-05,Course directe,86517,Mobile money,Oui
R000926,U0075,2026-05,Course directe,123754,Mobile money,Oui
R000927,U0075,2026-06,Bonus plateforme,50532,Cash,Oui
R000928,U0076,2025-07,Salaire partiel,168446,Mobile money,Non
R000929,U0076,2025-08,Mission ponctuelle,139159,Mobile money,Oui
R000930,U0076,2025-09,Salaire partiel,79000,Mobile money,Non
R000931,U0076,2025-10,Mission ponctuelle,178000,Mobile money,Oui
R000932,U0076,2025-11,Petit commerce,131332,Mobile money,Oui
R000933,U0076,2026-01,Mission ponctuelle,73148,Mobile money,Non
R000934,U0076,2026-02,Mission ponctuelle,95689,Virement,Non
R000935,U0076,2026-02,Salaire partiel,77362,Cash,Non
R000936,U0076,2026-03,Salaire partiel,143000,Mobile money,Non
R000937,U0076,2026-03,Salaire partiel,112486,Virement,Non
R000938,U0076,2026-06,Salaire partiel,40023,Cash,Oui
R000939,U0077,2025-07,Contrat ponctuel,189000,Mobile money,Oui
R000940,U0077,2025-08,Prestation digitale,57333,Cash,Oui
R000941,U0077,2025-08,Mission freelance,65000,Mobile money,Non
R000942,U0077,2025-09,Contrat ponctuel,159842,Virement,Oui
R000943,U0077,2025-09,Contrat ponctuel,276613,Mobile money,Oui
R000944,U0077,2025-10,Prestation digitale,96000,Cash,Non
R000945,U0077,2026-02,Contrat ponctuel,172000,Mobile money,Oui
R000946,U0077,2026-05,Contrat ponctuel,95226,Mobile money,Oui
R000947,U0077,2026-06,Contrat ponctuel,58142,Cash,Oui
R000948,U0077,2026-06,Contrat ponctuel,194887,Mobile money,Non
R000949,U0077,2026-06,Mission freelance,176000,Cash,Non
R000950,U0078,2025-07,Maintenance,233000,Cash,Oui
R000951,U0078,2025-08,Prestation,85547,Cash,Non
R000952,U0078,2025-09,Maintenance,185621,Cash,Oui
R000953,U0078,2025-09,Prestation,246870,Cash,Non
R000954,U0078,2025-09,Service client,187527,Mobile money,Oui
R000955,U0078,2025-12,Maintenance,53151,Cash,Oui
R000956,U0078,2026-02,Maintenance,85000,Mobile money,Non
R000957,U0078,2026-04,Prestation,109000,Cash,Non
R000958,U0079,2025-07,Bonus plateforme,84390,Mobile money,Non
R000959,U0079,2025-07,Livraisons,64224,Mobile money,Non
R000960,U0079,2025-08,Bonus plateforme,43000,Cash,Oui
R000961,U0079,2025-09,Bonus plateforme,114124,Mobile money,Oui
R000962,U0079,2025-09,Livraisons,74046,Cash,Oui
R000963,U0079,2025-10,Livraisons,29293,Mobile money,Non
R000964,U0079,2025-10,Bonus plateforme,76000,Mobile money,Non
R000965,U0079,2025-11,Bonus plateforme,134326,Mobile money,Oui
R000966,U0079,2025-12,Livraisons,49400,Cash,Oui
R000967,U0079,2026-01,Livraisons,32952,Mobile money,Non
R000968,U0079,2026-02,Bonus plateforme,148965,Mobile money,Oui
R000969,U0079,2026-03,Livraisons,99436,Cash,Non
R000970,U0079,2026-03,Course directe,96517,Mobile money,Non
R000971,U0079,2026-05,Bonus plateforme,139133,Cash,Non
R000972,U0080,2025-08,Livraisons,116320,Cash,Oui
R000973,U0080,2025-11,Livraisons,131587,Mobile money,Non
R000974,U0080,2025-12,Bonus plateforme,33000,Mobile money,Non
R000975,U0080,2025-12,Livraisons,122000,Mobile money,Oui
R000976,U0080,2026-01,Bonus plateforme,134109,Mobile money,Oui
R000977,U0080,2026-02,Livraisons,85086,Mobile money,Non
R000978,U0080,2026-02,Livraisons,161543,Cash,Oui
R000979,U0080,2026-02,Course directe,85515,Virement,Oui
R000980,U0080,2026-05,Course directe,79000,Cash,Non
R000981,U0080,2026-06,Course directe,34450,Virement,Oui
R000982,U0081,2025-07,Course directe,142576,Virement,Non
R000983,U0081,2025-07,Course directe,132214,Cash,Oui
R000984,U0081,2025-08,Course directe,139000,Mobile money,Oui
R000985,U0081,2025-08,Livraisons,65005,Mobile money,Non
R000986,U0081,2025-09,Livraisons,137681,Mobile money,Non
R000987,U0081,2025-10,Course directe,39000,Mobile money,Non
R000988,U0081,2025-10,Livraisons,125702,Mobile money,Non
R000989,U0081,2025-11,Livraisons,54728,Mobile money,Non
R000990,U0081,2025-12,Bonus plateforme,115000,Cash,Non
R000991,U0081,2025-12,Livraisons,89798,Mobile money,Oui
R000992,U0081,2026-01,Course directe,92851,Cash,Non
R000993,U0081,2026-02,Livraisons,127368,Mobile money,Non
R000994,U0081,2026-02,Livraisons,69799,Mobile money,Oui
R000995,U0081,2026-05,Bonus plateforme,146690,Mobile money,Non
R000996,U0081,2026-06,Bonus plateforme,43673,Mobile money,Non
R000997,U0081,2026-06,Livraisons,145562,Virement,Oui
R000998,U0082,2025-07,Mission ponctuelle,103810,Cash,Oui
R000999,U0082,2025-07,Salaire partiel,63185,Mobile money,Non
R001000,U0082,2025-08,Salaire partiel,43232,Mobile money,Non
R001001,U0082,2025-09,Mission ponctuelle,74000,Cash,Non
R001002,U0082,2025-09,Petit commerce,98419,Virement,Oui
R001003,U0082,2025-09,Mission ponctuelle,45758,Cash,Oui
R001004,U0082,2025-11,Mission ponctuelle,33000,Mobile money,Non
R001005,U0082,2026-01,Mission ponctuelle,88567,Mobile money,Oui
R001006,U0082,2026-02,Mission ponctuelle,111093,Mobile money,Non
R001007,U0082,2026-02,Mission ponctuelle,61000,Mobile money,Oui
R001008,U0082,2026-04,Mission ponctuelle,150000,Mobile money,Non
R001009,U0082,2026-05,Petit commerce,36306,Mobile money,Non
R001010,U0082,2026-06,Petit commerce,103000,Mobile money,Oui
R001011,U0083,2025-07,Salaire partiel,43895,Mobile money,Oui
R001012,U0083,2025-08,Salaire partiel,44000,Cash,Non
R001013,U0083,2025-08,Mission ponctuelle,100813,Cash,Oui
R001014,U0083,2025-09,Salaire partiel,147000,Virement,Non
R001015,U0083,2025-09,Mission ponctuelle,86579,Cash,Non
R001016,U0083,2025-10,Mission ponctuelle,95347,Virement,Oui
R001017,U0083,2025-11,Mission ponctuelle,108866,Cash,Oui
R001018,U0083,2025-11,Mission ponctuelle,92081,Cash,Non
R001019,U0083,2025-12,Mission ponctuelle,37271,Mobile money,Non
R001020,U0083,2025-12,Petit commerce,144763,Cash,Oui
R001021,U0083,2025-12,Salaire partiel,62115,Mobile money,Oui
R001022,U0083,2026-01,Mission ponctuelle,58000,Cash,Non
R001023,U0083,2026-01,Mission ponctuelle,164865,Cash,Non
R001024,U0083,2026-01,Petit commerce,35018,Mobile money,Oui
R001025,U0083,2026-02,Petit commerce,124694,Mobile money,Oui
R001026,U0083,2026-02,Petit commerce,53000,Mobile money,Non
R001027,U0083,2026-03,Mission ponctuelle,190458,Cash,Non
R001028,U0083,2026-04,Petit commerce,122000,Mobile money,Non
R001029,U0083,2026-04,Salaire partiel,28189,Mobile money,Non
R001030,U0083,2026-04,Mission ponctuelle,146542,Cash,Oui
R001031,U0083,2026-05,Mission ponctuelle,123000,Mobile money,Non
R001032,U0084,2025-07,Vente en ligne,149505,Mobile money,Non
R001033,U0084,2025-08,Vente en ligne,81088,Mobile money,Non
R001034,U0084,2025-08,Marketplace,175647,Mobile money,Oui
R001035,U0084,2025-08,Vente en ligne,201000,Mobile money,Non
R001036,U0084,2025-10,Vente en ligne,83000,Mobile money,Non
R001037,U0084,2025-10,Commande WhatsApp,123865,Mobile money,Non
R001038,U0084,2025-12,Commande WhatsApp,192234,Mobile money,Oui
R001039,U0084,2025-12,Commande WhatsApp,94000,Mobile money,Non
R001040,U0084,2025-12,Marketplace,113000,Mobile money,Oui
R001041,U0084,2026-01,Marketplace,101900,Mobile money,Oui
R001042,U0084,2026-01,Marketplace,196416,Mobile money,Oui
R001043,U0084,2026-04,Vente en ligne,154221,Virement,Non
R001044,U0084,2026-05,Commande WhatsApp,98000,Virement,Oui
R001045,U0085,2025-09,Prestation,52840,Mobile money,Non
R001046,U0085,2025-11,Service client,172000,Virement,Non
R001047,U0085,2025-11,Service client,178000,Cash,Oui
R001048,U0085,2025-11,Maintenance,54590,Cash,Non
R001049,U0085,2025-12,Service client,81000,Mobile money,Oui
R001050,U0085,2025-12,Prestation,202270,Virement,Oui
R001051,U0085,2025-12,Maintenance,146000,Mobile money,Oui
R001052,U0085,2026-01,Maintenance,195999,Mobile money,Oui
R001053,U0085,2026-03,Service client,91910,Mobile money,Oui
R001054,U0085,2026-04,Service client,176387,Cash,Oui
R001055,U0085,2026-05,Maintenance,111385,Mobile money,Non
R001056,U0085,2026-06,Prestation,184000,Cash,Oui
R001057,U0086,2025-07,Commande WhatsApp,194243,Cash,Oui
R001058,U0086,2025-08,Commande WhatsApp,192000,Mobile money,Non
R001059,U0086,2025-08,Commande WhatsApp,150525,Mobile money,Non
R001060,U0086,2025-09,Vente en ligne,26442,Mobile money,Non
R001061,U0086,2025-09,Commande WhatsApp,192794,Cash,Oui
R001062,U0086,2025-10,Marketplace,53966,Mobile money,Oui
R001063,U0086,2025-11,Commande WhatsApp,103571,Mobile money,Oui
R001064,U0086,2025-11,Vente en ligne,152455,Mobile money,Oui
R001065,U0086,2026-01,Marketplace,152620,Cash,Oui
R001066,U0086,2026-03,Marketplace,136998,Mobile money,Oui
R001067,U0086,2026-04,Commande WhatsApp,78458,Cash,Non
R001068,U0086,2026-04,Vente en ligne,198000,Virement,Non
R001069,U0086,2026-04,Marketplace,142063,Mobile money,Non
R001070,U0087,2025-08,Marketplace,205953,Cash,Oui
R001071,U0087,2025-08,Commande WhatsApp,51028,Mobile money,Oui
R001072,U0087,2025-09,Vente en ligne,114000,Cash,Oui
R001073,U0087,2025-10,Vente en ligne,66000,Mobile money,Non
R001074,U0087,2025-11,Vente en ligne,203000,Mobile money,Oui
R001075,U0087,2025-12,Marketplace,43333,Cash,Non
R001076,U0087,2026-04,Commande WhatsApp,149064,Mobile money,Non
R001077,U0087,2026-05,Marketplace,206900,Cash,Non
R001078,U0087,2026-05,Marketplace,108000,Virement,Oui
R001079,U0087,2026-06,Commande WhatsApp,187231,Mobile money,Oui
R001080,U0087,2026-06,Vente en ligne,198101,Mobile money,Non
R001081,U0088,2025-09,Mission freelance,116000,Mobile money,Non
R001082,U0088,2025-10,Contrat ponctuel,202000,Cash,Oui
R001083,U0088,2025-10,Prestation digitale,60000,Mobile money,Non
R001084,U0088,2025-10,Contrat ponctuel,158000,Mobile money,Non
R001085,U0088,2025-11,Prestation digitale,73000,Mobile money,Non
R001086,U0088,2026-02,Mission freelance,164000,Mobile money,Oui
R001087,U0088,2026-05,Mission freelance,70362,Mobile money,Oui
R001088,U0089,2025-08,Petit commerce,137478,Mobile money,Non
R001089,U0089,2025-08,Salaire partiel,50578,Cash,Non
R001090,U0089,2025-08,Mission ponctuelle,106000,Cash,Non
R001091,U0089,2026-01,Mission ponctuelle,54000,Mobile money,Non
R001092,U0089,2026-01,Petit commerce,98000,Mobile money,Non
R001093,U0089,2026-02,Mission ponctuelle,150000,Cash,Non
R001094,U0089,2026-03,Petit commerce,125000,Cash,Oui
R001095,U0089,2026-03,Mission ponctuelle,152000,Mobile money,Oui
R001096,U0089,2026-03,Salaire partiel,167000,Cash,Non
R001097,U0089,2026-06,Salaire partiel,119546,Mobile money,Oui
R001098,U0090,2025-07,Livraisons,114906,Mobile money,Oui
R001099,U0090,2025-07,Course directe,105000,Mobile money,Oui
R001100,U0090,2025-08,Bonus plateforme,43000,Cash,Non
R001101,U0090,2025-11,Course directe,141558,Mobile money,Non
R001102,U0090,2025-11,Course directe,43000,Virement,Oui
R001103,U0090,2025-12,Course directe,48146,Mobile money,Oui
R001104,U0090,2026-01,Bonus plateforme,140000,Mobile money,Oui
R001105,U0090,2026-01,Course directe,94000,Cash,Non
R001106,U0090,2026-02,Course directe,108416,Mobile money,Oui
R001107,U0090,2026-06,Bonus plateforme,69000,Mobile money,Non
R001108,U0090,2026-06,Livraisons,43456,Mobile money,Oui
R001109,U0090,2026-06,Livraisons,47000,Mobile money,Non
R001110,U0091,2025-08,Mission freelance,107330,Mobile money,Non
R001111,U0091,2025-09,Prestation digitale,125000,Cash,Oui
R001112,U0091,2025-10,Contrat ponctuel,151371,Mobile money,Oui
R001113,U0091,2025-11,Contrat ponctuel,181000,Cash,Non
R001114,U0091,2025-12,Contrat ponctuel,155000,Cash,Non
R001115,U0091,2025-12,Contrat ponctuel,239377,Cash,Oui
R001116,U0091,2025-12,Mission freelance,225000,Mobile money,Non
R001117,U0091,2026-01,Mission freelance,117000,Virement,Oui
R001118,U0091,2026-02,Mission freelance,169000,Cash,Non
R001119,U0091,2026-02,Prestation digitale,148000,Mobile money,Non
R001120,U0091,2026-02,Prestation digitale,252000,Cash,Non
R001121,U0091,2026-04,Contrat ponctuel,241000,Mobile money,Non
R001122,U0092,2025-07,Petit commerce,81031,Mobile money,Oui
R001123,U0092,2025-08,Petit commerce,156901,Virement,Non
R001124,U0092,2025-08,Salaire partiel,142978,Virement,Oui
R001125,U0092,2025-08,Salaire partiel,170464,Mobile money,Oui
R001126,U0092,2025-09,Mission ponctuelle,90295,Mobile money,Non
R001127,U0092,2025-09,Petit commerce,120728,Mobile money,Oui
R001128,U0092,2025-10,Salaire partiel,137743,Mobile money,Non
R001129,U0092,2025-11,Petit commerce,110212,Cash,Oui
R001130,U0092,2025-11,Salaire partiel,187697,Mobile money,Non
R001131,U0092,2025-12,Mission ponctuelle,141213,Mobile money,Non
R001132,U0092,2025-12,Petit commerce,82463,Cash,Non
R001133,U0092,2025-12,Mission ponctuelle,153953,Mobile money,Non
R001134,U0092,2026-01,Petit commerce,110563,Cash,Non
R001135,U0092,2026-02,Petit commerce,50772,Cash,Non
R001136,U0092,2026-02,Petit commerce,93522,Mobile money,Non
R001137,U0092,2026-02,Petit commerce,63453,Cash,Non
R001138,U0092,2026-03,Salaire partiel,104954,Cash,Oui
R001139,U0092,2026-03,Petit commerce,59725,Virement,Oui
R001140,U0092,2026-04,Petit commerce,118490,Cash,Non
R001141,U0092,2026-04,Salaire partiel,82604,Cash,Oui
R001142,U0092,2026-05,Mission ponctuelle,96067,Mobile money,Oui
R001143,U0092,2026-06,Mission ponctuelle,191618,Cash,Oui
R001144,U0093,2025-07,Vente en ligne,127414,Cash,Oui
R001145,U0093,2025-07,Vente en ligne,120207,Mobile money,Non
R001146,U0093,2025-08,Vente en ligne,202000,Mobile money,Oui
R001147,U0093,2025-08,Marketplace,60854,Mobile money,Non
R001148,U0093,2025-08,Marketplace,31423,Mobile money,Oui
R001149,U0093,2025-09,Vente en ligne,84000,Cash,Non
R001150,U0093,2025-09,Marketplace,182050,Mobile money,Oui
R001151,U0093,2025-10,Vente en ligne,217000,Cash,Oui
R001152,U0093,2025-10,Commande WhatsApp,147597,Mobile money,Oui
R001153,U0093,2025-11,Vente en ligne,105951,Cash,Non
R001154,U0093,2026-02,Marketplace,116280,Cash,Oui
R001155,U0093,2026-04,Vente en ligne,128000,Mobile money,Non
R001156,U0093,2026-05,Marketplace,161781,Mobile money,Non
R001157,U0094,2025-07,Service client,164377,Virement,Oui
R001158,U0094,2025-08,Prestation,47391,Mobile money,Oui
R001159,U0094,2025-09,Prestation,118853,Mobile money,Non
R001160,U0094,2025-09,Maintenance,130909,Mobile money,Oui
R001161,U0094,2025-10,Service client,97000,Mobile money,Oui
R001162,U0094,2025-11,Maintenance,238586,Mobile money,Non
R001163,U0094,2025-11,Prestation,173119,Mobile money,Oui
R001164,U0094,2025-12,Service client,146420,Cash,Non
R001165,U0094,2026-01,Prestation,166000,Mobile money,Oui
R001166,U0094,2026-02,Service client,100029,Cash,Oui
R001167,U0094,2026-03,Maintenance,243441,Cash,Non
R001168,U0094,2026-04,Service client,142630,Mobile money,Oui
R001169,U0094,2026-05,Service client,91622,Virement,Oui
R001170,U0094,2026-06,Service client,113000,Cash,Oui
R001171,U0094,2026-06,Service client,219000,Virement,Oui
R001172,U0095,2025-07,Vente en ligne,61932,Mobile money,Non
R001173,U0095,2025-08,Marketplace,36845,Mobile money,Oui
R001174,U0095,2025-09,Commande WhatsApp,145515,Mobile money,Oui
R001175,U0095,2025-09,Vente en ligne,76929,Virement,Non
R001176,U0095,2025-10,Vente en ligne,42427,Cash,Non
R001177,U0095,2025-11,Commande WhatsApp,138373,Mobile money,Oui
R001178,U0095,2025-12,Commande WhatsApp,144539,Mobile money,Non
R001179,U0095,2026-01,Commande WhatsApp,116839,Cash,Oui
R001180,U0095,2026-02,Vente en ligne,39084,Mobile money,Non
R001181,U0095,2026-03,Marketplace,109852,Cash,Non
R001182,U0095,2026-04,Commande WhatsApp,126878,Mobile money,Oui
R001183,U0095,2026-05,Vente en ligne,39330,Mobile money,Non
R001184,U0095,2026-06,Vente en ligne,83405,Cash,Oui
R001185,U0095,2026-06,Marketplace,43000,Mobile money,Oui
R001186,U0096,2025-08,Marketplace,220984,Mobile money,Non
R001187,U0096,2025-09,Marketplace,135000,Cash,Non
R001188,U0096,2025-10,Marketplace,69017,Mobile money,Non
R001189,U0096,2025-10,Vente en ligne,148886,Virement,Non
R001190,U0096,2025-11,Marketplace,163984,Mobile money,Non
R001191,U0096,2026-02,Vente en ligne,201546,Cash,Oui
R001192,U0096,2026-02,Commande WhatsApp,146077,Cash,Non
R001193,U0096,2026-03,Commande WhatsApp,194299,Mobile money,Oui
R001194,U0096,2026-04,Commande WhatsApp,83000,Cash,Oui
R001195,U0096,2026-05,Marketplace,35662,Mobile money,Non
R001196,U0096,2026-05,Vente en ligne,42580,Virement,Oui
R001197,U0096,2026-05,Marketplace,199000,Mobile money,Non
R001198,U0096,2026-06,Marketplace,209000,Virement,Non
R001199,U0096,2026-06,Marketplace,37415,Cash,Non
R001200,U0097,2025-09,Maintenance,48000,Cash,Oui
R001201,U0097,2025-09,Service client,152366,Virement,Oui
R001202,U0097,2025-11,Service client,156000,Cash,Oui
R001203,U0097,2026-01,Service client,73000,Mobile money,Oui
R001204,U0097,2026-06,Service client,173000,Mobile money,Oui
R001205,U0097,2026-06,Prestation,109000,Mobile money,Non
R001206,U0098,2025-07,Vente boutique,115577,Cash,Oui
